NDC1,NDC2,NDC3,Labeler Name,Labeler Status,FDA Name,COD Status,FDA Application Number,Drug Category,Drug Type,Line Extension,FDA Approval Date,Market Date,Unit Type,Unit Per Package Size,Therapeutic Equivalent Code ,5i Indicator,Purchased Product Date,Coverage Effective Date,Drug Termination Date,Drug Reactivation Date ,Date Reported to CMS
00006,5085,01,MERCK SHARP & DOHME LLC,Active,PREVYMIS 120 MG GRANULES SACHET 30CT,03,0219104,S,1,Y,08/30/2024,01/29/2025,EA,1,NR,N,,01/29/2025,,,02/19/2025
00006,5085,99,MERCK SHARP & DOHME LLC,Active,PREVYMIS 120 MG GRANULES SACHET INNER PACK,03,0219104,S,1,Y,08/30/2024,01/29/2025,EA,1,NR,N,,01/29/2025,,,02/19/2025
00006,5086,01,MERCK SHARP & DOHME LLC,Active,PREVYMIS 20 MG GRANULES SACHET 30CT,03,0219104,S,1,Y,08/30/2024,02/05/2025,EA,1,NR,N,,02/05/2025,,,02/19/2025
00006,5086,99,MERCK SHARP & DOHME LLC,Active,PREVYMIS 20 MG GRANULES SACHET INNER PACK ,03,0219104,S,1,Y,08/30/2024,02/05/2025,EA,1,NR,N,,02/05/2025,,,02/19/2025
00116,4010,10,"XTTRIUM LABORATORIES, INC.",Active,Amantadine Hydrochloride 50mg/5ml 10ml Cup,01,0075060,N,1,N,12/24/1998,04/01/1999,ML,10,AA,N,02/10/2025,02/10/2025,,,02/19/2025
00116,4010,16,"XTTRIUM LABORATORIES, INC.",Active,Amantadine Hydrochloride 50mg/5ml 473ML,01,0075060,N,1,N,12/24/1998,04/01/1999,ML,473,AA,N,02/10/2025,02/10/2025,,,02/19/2025
00116,4010,41,"XTTRIUM LABORATORIES, INC.",Active,Amantadine Hydrochloride 50mg/5ml 10ml Cup 100ct,01,0075060,N,1,N,12/24/1998,04/01/1999,ML,100,AA,N,02/10/2025,02/10/2025,,,02/19/2025
00338,9799,01,BAXTER HEALTHCARE CORPORATION,Active,5% Glucose and 0.9% Sodium Chloride Injection,11,,N,1,N,01/14/2025,01/17/2025,ML,1000,AP,Y,,01/17/2025,,,02/20/2025
00338,9799,12,BAXTER HEALTHCARE CORPORATION,Active,5% Glucose and 0.9% Sodium Chloride Injection,11,,N,1,N,01/14/2025,01/17/2025,ML,1000,AP,Y,,01/17/2025,,,02/20/2025
00409,4321,01,"HOSPIRA, INC.",Active,FLUCONAZOLE NACL 400MG SSOL24X200ML PLBG (IP),01,0079104,N,1,N,07/30/2009,08/27/2009,ML,200,AP,Y,02/03/2025,02/03/2025,,,02/18/2025
00409,4321,24,"HOSPIRA, INC.",Active,FLUCONAZOLE NACL 400MG SSOL24X200ML PLBG,01,0079104,N,1,N,07/30/2009,08/27/2009,ML,4800,AP,Y,02/03/2025,02/03/2025,,,02/18/2025
00536,1161,44,RUGBY LABORATORIES,Active,GUAIFENESIN DM 600-30MG CAPLET (INNER) ,01,0209692,N,2,N,11/01/2018,12/13/2018,TAB,1,NR,N,,12/13/2018,,,02/18/2025
00781,3415,95,SANDOZ,Active,PALONOSETRON HCL 250MCG/5ML                                    ,01,0202521,N,1,N,10/13/2015,03/26/2018,ML,5,AP,Y,01/09/2019,01/09/2019,,,02/20/2025
