NDC1,NDC2,NDC3,Labeler Name,Labeler Status,FDA Name,COD Status,FDA Application Number,Drug Category,Drug Type,Line Extension,FDA Approval Date,Market Date,Unit Type,Unit Per Package Size,Therapeutic Equivalent Code ,5i Indicator,Purchased Product Date,Coverage Effective Date,Drug Termination Date,Drug Reactivation Date ,Date Reported to CMS
00026,3950,50,BAYER HEALTHCARE LLC,Active,Jivi 4000IU Vial Adapter with 2.5 mL Diluent,02,0125661,S,1,N,08/29/2018,09/04/2018,AHF,1,NR,Y,,09/04/2018,,,03/03/2025
00121,1025,08,PAI,Active,Cimetidine Hydrochloride,01,0074664,N,1,N,10/28/1997,10/28/1997,ML,237,AA,N,01/29/2025,01/29/2025,,,03/06/2025
00169,2080,15,"NOVO NORDISK, INC.",Active,ALHEMO 150MG/1.5ML (100MG/ML),02,0761315,S,1,N,12/20/2024,02/24/2025,ML,1.5,NR,Y,,02/24/2025,,,03/05/2025
00169,2084,15,"NOVO NORDISK, INC.",Active,ALHEMO 60MG/1.5ML (40MG/ML),02,0761315,S,1,N,12/20/2024,02/25/2025,ML,1.5,NR,Y,,02/25/2025,,,03/05/2025
00409,3435,01,"HOSPIRA, INC.",Active,FLUCONAZOLE NACL 200MG SSOL24X100ML PLBG (IP),01,0079104,N,1,N,07/30/2009,08/27/2009,ML,100,AP,Y,03/03/2025,03/03/2025,,,03/05/2025
00409,3435,24,"HOSPIRA, INC.",Active,FLUCONAZOLE NACL 200MG SSOL24X100ML PLBG,01,0079104,N,1,N,07/30/2009,08/27/2009,ML,2400,AP,Y,03/03/2025,03/03/2025,,,03/05/2025
00409,5010,01,"HOSPIRA, INC.",Active,MARCAINE 0.5% (BUPIVACAINE HCL INJ USP) 10ML VIAL (IP),03,0016964,I,1,N,09/30/1990,09/30/1990,ML,10,AP,Y,03/03/2025,03/03/2025,,,03/05/2025
00409,5010,25,"HOSPIRA, INC.",Active,MARCAINE HCL USP 0.5%/10ML LSS 1X25 VL,03,0016964,I,1,N,09/30/1990,09/30/1990,ML,250,AP,Y,03/03/2025,03/03/2025,,,03/05/2025
24979,0238,07,"TWI PHARMACEUTICALS, INC.",Active,ZESTRIL Tablets 2.5mg 90s,03,0019777,I,1,Y,04/29/1993,01/01/1996,TAB,90,AB,N,01/07/2025,01/07/2025,,,03/03/2025
24979,0239,07,"TWI PHARMACEUTICALS, INC.",Active,ZESTRIL Tablets 5mg 90s,03,0019777,I,1,Y,09/30/1990,09/30/1990,TAB,90,AB,N,01/02/2025,01/02/2025,,,03/03/2025
24979,0240,07,"TWI PHARMACEUTICALS, INC.",Active,ZESTRIL Tablets 10mg 90s,03,0019777,I,1,Y,09/30/1990,09/30/1990,TAB,90,AB,N,01/02/2025,01/02/2025,,,03/03/2025
24979,0241,07,"TWI PHARMACEUTICALS, INC.",Active,ZESTRIL Tablets 20mg 90s,03,0019777,I,1,Y,09/30/1990,09/30/1990,TAB,90,AB,N,01/02/2025,01/02/2025,,,03/03/2025
24979,0242,07,"TWI PHARMACEUTICALS, INC.",Active,ZESTRIL Tablets 30mg 90s,03,0019777,I,1,Y,02/01/1999,02/01/1999,TAB,90,AB,N,01/07/2025,01/07/2025,,,03/03/2025
24979,0729,69,"TWI PHARMACEUTICALS, INC.",Active,Tadalafil Tablets 10mg 250s,01,0210420,N,1,N,03/26/2019,03/27/2019,TAB,250,AB,N,05/01/2024,05/01/2024,,,03/03/2025
24979,0730,44,"TWI PHARMACEUTICALS, INC.",Active,Tadalafil Tablets 20mg 120s,01,0210420,N,1,N,03/26/2019,03/27/2019,TAB,120,AB,N,05/01/2024,05/01/2024,,,03/03/2025
