NDC1,NDC2,NDC3,Labeler Name,Labeler Status,FDA Name,COD Status,FDA Application Number,Drug Category,Drug Type,Line Extension,FDA Approval Date,Market Date,Unit Type,Unit Per Package Size,Therapeutic Equivalent Code ,5i Indicator,Purchased Product Date,Coverage Effective Date,Drug Termination Date,Drug Reactivation Date ,Date Reported to CMS
00025,0317,01,PFIZER LABORATORIES DIV PFIZER INC,Active,ABRILADA 40MG/0.8ML LSS 1X2 PFS VAR2 US (IP),02,0761118,S,1,N,11/15/2019,11/29/2023,EA,2,NR,Y,01/10/2025,01/10/2025,,,01/21/2025
00025,0328,02,PFIZER LABORATORIES DIV PFIZER INC,Active,ABRILADA 40MG/0.8ML LSS 1X2 PFS VAR2 US,02,0761118,S,1,N,11/15/2019,11/29/2023,EA,1,NR,Y,01/10/2025,01/10/2025,,,01/21/2025
00113,7142,21,L. PERRIGO COMPANY,Active,Basic Care Vagicaine,09,PART348,N,2,N,09/30/1990,09/30/1990,GM,28,NR,N,05/30/2019,05/30/2019,01/31/2021,,01/21/2025
00143,9144,01,HIKMA PHARMACEUTICALS USA INC.,Active,Liraglutide Subcutaneous Solution Pen-injector 18 MG/3ML (IP),01,0215503,N,1,N,12/23/2024,12/24/2024,ML,3,AP,Y,,12/24/2024,,,01/22/2025
00143,9144,02,HIKMA PHARMACEUTICALS USA INC.,Active,Liraglutide Subcutaneous Solution Pen-injector 18 MG/3ML x 2,01,0215503,N,1,N,12/23/2024,12/24/2024,ML,6,AP,Y,,12/24/2024,,,01/22/2025
00143,9144,03,HIKMA PHARMACEUTICALS USA INC.,Active,Liraglutide Subcutaneous Solution Pen-injector 18 MG/3ML x 3,01,0215503,N,1,N,12/23/2024,12/24/2024,ML,9,AP,Y,,12/24/2024,,,01/22/2025
00143,9155,02,HIKMA PHARMACEUTICALS USA INC.,Active,FUROSEMIDE 20mg/2mL ML VIAL (IP) ,03,0018267,I,1,N,09/30/1990,12/13/2024,ML,2,AP,Y,,12/13/2024,,,01/22/2025
00143,9155,25,HIKMA PHARMACEUTICALS USA INC.,Active,FUROSEMIDE 20mg/2mL ML VIAL x10,03,0018267,I,1,N,09/30/1990,12/13/2024,ML,50,AP,Y,,12/13/2024,,,01/22/2025
00143,9430,01,HIKMA PHARMACEUTICALS USA INC.,Active,Meropenem Intravenous Solution Reconstituted 500 GM (IP),01,0216424,N,1,N,07/22/2024,12/30/2024,EA,1,AP,Y,,12/30/2024,,,01/22/2025
00143,9430,10,HIKMA PHARMACEUTICALS USA INC.,Active,Meropenem Intravenous Solution Reconstituted 500 MG X 10,01,0216424,N,1,N,07/22/2024,12/30/2024,EA,10,AP,Y,,12/30/2024,,,01/22/2025
00143,9431,01,HIKMA PHARMACEUTICALS USA INC.,Active,Meropenem Intravenous Solution Reconstituted 1 GM (IP),01,0216424,N,1,N,07/22/2024,12/30/2024,EA,1,AP,Y,,12/30/2024,,,01/22/2025
00143,9431,10,HIKMA PHARMACEUTICALS USA INC.,Active,Meropenem Intravenous Solution Reconstituted 1 GM x 10,01,0216424,N,1,N,07/22/2024,12/30/2024,EA,10,AP,Y,,12/30/2024,,,01/22/2025
00143,9514,01,HIKMA PHARMACEUTICALS USA INC.,Active,droPERidol Injection Solution 2.5 MG/ML (IP),01,0208197,N,1,N,12/14/2017,12/04/2024,ML,2,AP,Y,,12/04/2024,,,01/22/2025
00143,9514,25,HIKMA PHARMACEUTICALS USA INC.,Active,Droperidol Injection Solution 2.5 MG/ML x 25,01,0208197,N,1,N,12/14/2017,12/04/2024,ML,50,AP,Y,,12/04/2024,,,01/22/2025
00143,9515,01,HIKMA PHARMACEUTICALS USA INC.,Active,droPERidol Injection Solution 2.5 MG/ML (IP),01,0208197,N,1,N,12/14/2017,12/03/2024,ML,1,AP,Y,,12/03/2024,,,01/22/2025
00143,9515,25,HIKMA PHARMACEUTICALS USA INC.,Active,droPERidol Injection Solution 2.5 MG/ML x 25,01,0208197,N,1,N,12/14/2017,12/03/2024,ML,25,AP,Y,,12/03/2024,,,01/22/2025
00409,0009,01,"HOSPIRA, INC.",Active,ONDANSETRON 4MG/2ML LSS 25X2ML VL PREM (EACH),01,0077548,N,1,N,12/26/2006,12/26/2006,ML,2,AP,Y,01/13/2025,01/13/2025,,,01/21/2025
00409,0009,25,"HOSPIRA, INC.",Active,ONDANSETRON 4MG/2ML LSS 25X2ML VL PREM,01,0077548,N,1,N,12/26/2006,12/26/2006,ML,50,AP,Y,01/13/2025,01/13/2025,,,01/21/2025
00641,6236,01,HIKMA PHARMACEUTICALS USA INC.,Active,Ephedrine Sulfate Intrav Solution Prefilled Syringe 25MG5ml(IP),01,0217721,N,1,N,10/11/2024,12/20/2024,ML,5,AP,Y,,12/20/2024,,,01/22/2025
