NDC1,NDC2,NDC3,Labeler Name,Labeler Status,FDA Name,COD Status,FDA Application Number,Drug Category,Drug Type,Line Extension,FDA Approval Date,Market Date,Unit Type,Unit Per Package Size,Therapeutic Equivalent Code ,5i Indicator,Purchased Product Date,Coverage Effective Date,Drug Termination Date,Drug Reactivation Date ,Date Reported to CMS
00002,1214,01,ELI LILLY AND COMPANY,Active,ZEPBOUND,03,0217806,S,1,N,11/08/2023,11/24/2023,ML,0.5,NR,Y,02/25/2025,02/25/2025,,,03/14/2025
00002,1214,04,ELI LILLY AND COMPANY,Active,ZEPBOUND,03,0217806,S,1,N,11/08/2023,11/24/2023,ML,2,NR,Y,02/25/2025,02/25/2025,,,03/14/2025
00002,1340,01,ELI LILLY AND COMPANY,Active,ZEPBOUND,03,0217806,S,1,N,11/08/2023,11/24/2023,ML,0.5,NR,Y,02/25/2025,02/25/2025,,,03/14/2025
00002,1340,04,ELI LILLY AND COMPANY,Active,ZEPBOUND,03,0217806,S,1,N,11/08/2023,11/24/2023,ML,2,NR,Y,02/25/2025,02/25/2025,,,03/14/2025
00121,1034,16,PAI,Active,Hydroxyzine Hydrochloride,01,0040391,N,1,N,04/10/2002,12/09/2024,ML,473,AA,N,12/09/2024,12/09/2024,,,03/11/2025
00264,3107,11,B. BRAUN MEDICAL INC.,Active,Cefazolin Sodium,03,0050779,I,1,N,08/26/2024,03/10/2025,ML,50,NR,Y,,03/10/2025,,,03/14/2025
00407,8787,01,"GE HEALTHCARE, INC.",Active,FLYRCADO flurpiridaz f-18 injection,03,0215168,S,1,N,09/27/2024,02/19/2025,MCI,1,AP,Y,,02/19/2025,,,03/14/2025
00536,1427,04,RUGBY LABORATORIES,Active,DOCOSANOL 10% CREAM ,01,0215839,N,2,N,05/03/2022,05/22/2024,GM,2,NR,N,02/27/2025,02/27/2025,,,03/10/2025
00904,7447,61,MAJOR PHARMACEUTICALS,Active,HYDRALAZINE 10MG TABLETS UD ,01,0040858,N,1,N,02/26/2010,01/03/2025,TAB,100,AA,N,02/27/2025,02/27/2025,,,03/10/2025
00904,7450,61,MAJOR PHARMACEUTICALS,Active,HYDRALAZINE 100MG TABLETS UD ,01,0040858,N,1,N,02/26/2010,01/03/2025,TAB,100,AA,N,02/27/2025,02/27/2025,,,03/10/2025
